modalidad;tipo;subtipo;count
ROBO EN INSTITUCIONES BANCARIAS;CON VIOLENCIA;A EMPRESA DE TRASLADO DE VALORES;0.0
ROBO EN INSTITUCIONES BANCARIAS;CON VIOLENCIA;OTROS;0.0
ROBO EN INSTITUCIONES BANCARIAS;CON VIOLENCIA;SIN DATOS;0.0
ROBO EN INSTITUCIONES BANCARIAS;SIN VIOLENCIA;A BANCOS;0.0
ROBO EN INSTITUCIONES BANCARIAS;SIN VIOLENCIA;A CASA DE BOLSA;0.0
ROBO EN INSTITUCIONES BANCARIAS;SIN VIOLENCIA;A CASA DE CAMBIO;0.0
ROBO EN INSTITUCIONES BANCARIAS;SIN VIOLENCIA;A EMPRESA DE TRASLADO DE VALORES;0.0
ROBO EN INSTITUCIONES BANCARIAS;SIN VIOLENCIA;OTROS;0.0
ROBO EN INSTITUCIONES BANCARIAS;SIN VIOLENCIA;SIN DATOS;0.0
ROBO EN CARRETERAS;CON VIOLENCIA;A CAMIONES DE CARGA;0.0
ROBO EN CARRETERAS;CON VIOLENCIA;A AUTOBUSES;0.0
ROBO EN CARRETERAS;CON VIOLENCIA;A VEHICULOS PARTICULARES;0.0
ROBO EN CARRETERAS;CON VIOLENCIA;OTROS;0.0
ROBO EN CARRETERAS;CON VIOLENCIA;SIN DATOS;0.0
ROBO EN CARRETERAS;SIN VIOLENCIA;A CAMIONES DE CARGA;0.0
ROBO EN CARRETERAS;SIN VIOLENCIA;A AUTOBUSES;0.0
ROBO EN CARRETERAS;SIN VIOLENCIA;A VEHICULOS PARTICULARES;0.0
ROBO EN CARRETERAS;SIN VIOLENCIA;OTROS;0.0
ROBO EN CARRETERAS;SIN VIOLENCIA;SIN DATOS;0.0
HOMICIDIOS;CULPOSOS;SIN DATOS;14.0
LESIONES;DOLOSAS;CON ARMA BLANCA;0.0
LESIONES;DOLOSAS;CON ARMA DE FUEGO;0.0
LESIONES;DOLOSAS;OTROS;0.0
LESIONES;DOLOSAS;SIN DATOS;67.0
LESIONES;CULPOSAS;CON ARMA BLANCA;0.0
LESIONES;CULPOSAS;CON ARMA DE FUEGO;0.0
DELITOS PATRIMONIALES;ABUSO DE CONFIANZA;ABUSO DE CONFIANZA;38.0
DELITOS PATRIMONIALES;DAÑO EN PROPIEDAD AJENA;DAÑO EN PROPIEDAD AJENA;101.0
DELITOS PATRIMONIALES;EXTORSION;EXTORSION;0.0
DELITOS PATRIMONIALES;FRAUDE;FRAUDE;78.0
DELITOS PATRIMONIALES;DESPOJO;CON VIOLENCIA;0.0
DELITOS PATRIMONIALES;DESPOJO;SIN VIOLENCIA;0.0
DELITOS PATRIMONIALES;DESPOJO;SIN DATOS;0.0
DELITOS SEXUALES (VIOLACION);VIOLACION;VIOLACION;2.0
HOMICIDIOS;DOLOSOS;CON ARMA DE FUEGO;0.0
HOMICIDIOS;DOLOSOS;CON ARMA BLANCA;0.0
HOMICIDIOS;DOLOSOS;OTROS;4.0
HOMICIDIOS;DOLOSOS;SIN DATOS;0.0
HOMICIDIOS;CULPOSOS;CON ARMA DE FUEGO;0.0
HOMICIDIOS;CULPOSOS;CON ARMA BLANCA;0.0
HOMICIDIOS;CULPOSOS;OTROS;0.0
LESIONES;CULPOSAS;OTROS;0.0
LESIONES;CULPOSAS;SIN DATOS;59.0
OTROS DELITOS;AMENAZAS;AMENAZAS;28.0
OTROS DELITOS;ESTUPRO;ESTUPRO;0.0
OTROS DELITOS;OTROS SEXUALES;OTROS SEXUALES;8.0
OTROS DELITOS;RESTO DE LOS DELITOS (OTROS);RESTO DE LOS DELITOS (OTROS);127.0
PRIV. DE LA LIBERTAD (SECUESTRO);SECUESTRO;SECUESTRO;0.0
ROBO COMUN;CON VIOLENCIA;A CASA HABITACION;0.0
ROBO COMUN;CON VIOLENCIA;A NEGOCIO;0.0
ROBO COMUN;CON VIOLENCIA;DE VEHICULOS;27.0
ROBO COMUN;CON VIOLENCIA;A TRANSPORTISTAS;0.0
ROBO COMUN;CON VIOLENCIA;A TRANSEUNTES;0.0
ROBO COMUN;CON VIOLENCIA;OTROS;266.0
ROBO COMUN;CON VIOLENCIA;SIN DATOS;0.0
ROBO COMUN;SIN VIOLENCIA;A CASA HABITACION;0.0
ROBO COMUN;SIN VIOLENCIA;A NEGOCIO;0.0
ROBO COMUN;SIN VIOLENCIA;DE VEHICULOS;0.0
ROBO COMUN;SIN VIOLENCIA;A TRANSPORTISTAS;0.0
ROBO COMUN;SIN VIOLENCIA;A TRANSEUNTES;0.0
ROBO COMUN;SIN VIOLENCIA;OTROS;3.0
ROBO COMUN;SIN VIOLENCIA;SIN DATOS;0.0
ROBO DE GANADO (ABIGEATO);ABIGEATO;ABIGEATO;0.0
ROBO EN INSTITUCIONES BANCARIAS;CON VIOLENCIA;A BANCOS;2.0
ROBO EN INSTITUCIONES BANCARIAS;CON VIOLENCIA;A CASA DE BOLSA;0.0
ROBO EN INSTITUCIONES BANCARIAS;CON VIOLENCIA;A CASA DE CAMBIO;0.0
ROBO EN INSTITUCIONES BANCARIAS;CON VIOLENCIA;A EMPRESA DE TRASLADO DE VALORES;0.0
ROBO EN INSTITUCIONES BANCARIAS;CON VIOLENCIA;OTROS;0.0
ROBO EN INSTITUCIONES BANCARIAS;CON VIOLENCIA;SIN DATOS;0.0
ROBO EN INSTITUCIONES BANCARIAS;SIN VIOLENCIA;A BANCOS;0.0
ROBO EN INSTITUCIONES BANCARIAS;SIN VIOLENCIA;A CASA DE BOLSA;0.0
ROBO EN INSTITUCIONES BANCARIAS;SIN VIOLENCIA;A CASA DE CAMBIO;0.0
ROBO EN INSTITUCIONES BANCARIAS;SIN VIOLENCIA;A EMPRESA DE TRASLADO DE VALORES;0.0
ROBO EN INSTITUCIONES BANCARIAS;SIN VIOLENCIA;OTROS;0.0
ROBO EN INSTITUCIONES BANCARIAS;SIN VIOLENCIA;SIN DATOS;0.0
ROBO EN CARRETERAS;CON VIOLENCIA;A CAMIONES DE CARGA;0.0
ROBO EN CARRETERAS;CON VIOLENCIA;A AUTOBUSES;0.0
ROBO EN CARRETERAS;CON VIOLENCIA;A VEHICULOS PARTICULARES;0.0
ROBO EN CARRETERAS;CON VIOLENCIA;OTROS;0.0
ROBO EN CARRETERAS;CON VIOLENCIA;SIN DATOS;0.0
ROBO EN CARRETERAS;SIN VIOLENCIA;A CAMIONES DE CARGA;0.0
ROBO EN CARRETERAS;SIN VIOLENCIA;A AUTOBUSES;0.0
ROBO EN CARRETERAS;SIN VIOLENCIA;A VEHICULOS PARTICULARES;0.0
ROBO EN CARRETERAS;SIN VIOLENCIA;OTROS;0.0
ROBO EN CARRETERAS;SIN VIOLENCIA;SIN DATOS;0.0
HOMICIDIOS;CULPOSOS;SIN DATOS;7.0
LESIONES;DOLOSAS;CON ARMA BLANCA;0.0
LESIONES;DOLOSAS;CON ARMA DE FUEGO;0.0
LESIONES;DOLOSAS;OTROS;0.0
LESIONES;DOLOSAS;SIN DATOS;65.0
LESIONES;CULPOSAS;CON ARMA BLANCA;0.0
LESIONES;CULPOSAS;CON ARMA DE FUEGO;0.0
DELITOS PATRIMONIALES;ABUSO DE CONFIANZA;ABUSO DE CONFIANZA;25.0
DELITOS PATRIMONIALES;DAÑO EN PROPIEDAD AJENA;DAÑO EN PROPIEDAD AJENA;122.0
DELITOS PATRIMONIALES;EXTORSION;EXTORSION;0.0
DELITOS PATRIMONIALES;FRAUDE;FRAUDE;79.0
DELITOS PATRIMONIALES;DESPOJO;CON VIOLENCIA;0.0
DELITOS PATRIMONIALES;DESPOJO;SIN VIOLENCIA;0.0
DELITOS PATRIMONIALES;DESPOJO;SIN DATOS;0.0
DELITOS SEXUALES (VIOLACION);VIOLACION;VIOLACION;3.0
HOMICIDIOS;DOLOSOS;CON ARMA DE FUEGO;1.0
HOMICIDIOS;DOLOSOS;CON ARMA BLANCA;2.0
HOMICIDIOS;DOLOSOS;OTROS;1.0
HOMICIDIOS;DOLOSOS;SIN DATOS;0.0
HOMICIDIOS;CULPOSOS;CON ARMA DE FUEGO;0.0
HOMICIDIOS;CULPOSOS;CON ARMA BLANCA;0.0
HOMICIDIOS;CULPOSOS;OTROS;0.0
LESIONES;CULPOSAS;OTROS;0.0
LESIONES;CULPOSAS;SIN DATOS;59.0
OTROS DELITOS;AMENAZAS;AMENAZAS;15.0
OTROS DELITOS;ESTUPRO;ESTUPRO;1.0
OTROS DELITOS;OTROS SEXUALES;OTROS SEXUALES;16.0
OTROS DELITOS;RESTO DE LOS DELITOS (OTROS);RESTO DE LOS DELITOS (OTROS);116.0
PRIV. DE LA LIBERTAD (SECUESTRO);SECUESTRO;SECUESTRO;0.0
ROBO COMUN;CON VIOLENCIA;A CASA HABITACION;3.0
ROBO COMUN;CON VIOLENCIA;A NEGOCIO;6.0
ROBO COMUN;CON VIOLENCIA;DE VEHICULOS;5.0
ROBO COMUN;CON VIOLENCIA;A TRANSPORTISTAS;0.0
ROBO COMUN;CON VIOLENCIA;A TRANSEUNTES;25.0
ROBO COMUN;CON VIOLENCIA;OTROS;0.0
ROBO COMUN;CON VIOLENCIA;SIN DATOS;0.0
ROBO COMUN;SIN VIOLENCIA;A CASA HABITACION;106.0
ROBO COMUN;SIN VIOLENCIA;A NEGOCIO;79.0
ROBO COMUN;SIN VIOLENCIA;DE VEHICULOS;54.0
ROBO COMUN;SIN VIOLENCIA;A TRANSPORTISTAS;0.0
ROBO COMUN;SIN VIOLENCIA;A TRANSEUNTES;0.0
ROBO COMUN;SIN VIOLENCIA;OTROS;0.0
ROBO COMUN;SIN VIOLENCIA;SIN DATOS;0.0
ROBO DE GANADO (ABIGEATO);ABIGEATO;ABIGEATO;0.0
ROBO EN INSTITUCIONES BANCARIAS;CON VIOLENCIA;A BANCOS;1.0
ROBO EN INSTITUCIONES BANCARIAS;CON VIOLENCIA;A CASA DE BOLSA;0.0
ROBO EN INSTITUCIONES BANCARIAS;CON VIOLENCIA;A CASA DE CAMBIO;0.0
ROBO EN INSTITUCIONES BANCARIAS;CON VIOLENCIA;A EMPRESA DE TRASLADO DE VALORES;0.0
ROBO EN INSTITUCIONES BANCARIAS;CON VIOLENCIA;OTROS;0.0
ROBO EN INSTITUCIONES BANCARIAS;CON VIOLENCIA;SIN DATOS;0.0
ROBO EN INSTITUCIONES BANCARIAS;SIN VIOLENCIA;A BANCOS;0.0
ROBO EN INSTITUCIONES BANCARIAS;SIN VIOLENCIA;A CASA DE BOLSA;0.0
ROBO EN INSTITUCIONES BANCARIAS;SIN VIOLENCIA;A CASA DE CAMBIO;0.0
ROBO EN INSTITUCIONES BANCARIAS;SIN VIOLENCIA;A EMPRESA DE TRASLADO DE VALORES;0.0
ROBO EN INSTITUCIONES BANCARIAS;SIN VIOLENCIA;OTROS;0.0
ROBO EN INSTITUCIONES BANCARIAS;SIN VIOLENCIA;SIN DATOS;0.0
ROBO EN CARRETERAS;CON VIOLENCIA;A CAMIONES DE CARGA;0.0
ROBO EN CARRETERAS;CON VIOLENCIA;A AUTOBUSES;0.0
ROBO EN CARRETERAS;CON VIOLENCIA;A VEHICULOS PARTICULARES;0.0
ROBO EN CARRETERAS;CON VIOLENCIA;OTROS;0.0
ROBO EN CARRETERAS;CON VIOLENCIA;SIN DATOS;0.0
ROBO EN CARRETERAS;SIN VIOLENCIA;A CAMIONES DE CARGA;0.0
ROBO EN CARRETERAS;SIN VIOLENCIA;A AUTOBUSES;0.0
ROBO EN CARRETERAS;SIN VIOLENCIA;A VEHICULOS PARTICULARES;0.0
ROBO EN CARRETERAS;SIN VIOLENCIA;OTROS;0.0
ROBO EN CARRETERAS;SIN VIOLENCIA;SIN DATOS;0.0
HOMICIDIOS;CULPOSOS;SIN DATOS;10.0
LESIONES;DOLOSAS;CON ARMA BLANCA;0.0
LESIONES;DOLOSAS;CON ARMA DE FUEGO;0.0
LESIONES;DOLOSAS;OTROS;0.0
LESIONES;DOLOSAS;SIN DATOS;66.0
LESIONES;CULPOSAS;CON ARMA BLANCA;0.0
LESIONES;CULPOSAS;CON ARMA DE FUEGO;0.0
DELITOS PATRIMONIALES;ABUSO DE CONFIANZA;ABUSO DE CONFIANZA;25.0
DELITOS PATRIMONIALES;DAÑO EN PROPIEDAD AJENA;DAÑO EN PROPIEDAD AJENA;152.0
DELITOS PATRIMONIALES;EXTORSION;EXTORSION;0.0
DELITOS PATRIMONIALES;FRAUDE;FRAUDE;64.0
DELITOS PATRIMONIALES;DESPOJO;CON VIOLENCIA;0.0
DELITOS PATRIMONIALES;DESPOJO;SIN VIOLENCIA;0.0
DELITOS PATRIMONIALES;DESPOJO;SIN DATOS;0.0
DELITOS SEXUALES (VIOLACION);VIOLACION;VIOLACION;10.0
HOMICIDIOS;DOLOSOS;CON ARMA DE FUEGO;0.0
HOMICIDIOS;DOLOSOS;CON ARMA BLANCA;0.0
HOMICIDIOS;DOLOSOS;OTROS;0.0
HOMICIDIOS;DOLOSOS;SIN DATOS;0.0
HOMICIDIOS;CULPOSOS;CON ARMA DE FUEGO;0.0
HOMICIDIOS;CULPOSOS;CON ARMA BLANCA;0.0
HOMICIDIOS;CULPOSOS;OTROS;0.0
LESIONES;CULPOSAS;OTROS;0.0
LESIONES;CULPOSAS;SIN DATOS;71.0
OTROS DELITOS;AMENAZAS;AMENAZAS;30.0
OTROS DELITOS;ESTUPRO;ESTUPRO;0.0
OTROS DELITOS;OTROS SEXUALES;OTROS SEXUALES;9.0
OTROS DELITOS;RESTO DE LOS DELITOS (OTROS);RESTO DE LOS DELITOS (OTROS);128.0
PRIV. DE LA LIBERTAD (SECUESTRO);SECUESTRO;SECUESTRO;0.0
ROBO COMUN;CON VIOLENCIA;A CASA HABITACION;0.0
ROBO COMUN;CON VIOLENCIA;A NEGOCIO;7.0
ROBO COMUN;CON VIOLENCIA;DE VEHICULOS;1.0
ROBO COMUN;CON VIOLENCIA;A TRANSPORTISTAS;0.0
ROBO COMUN;CON VIOLENCIA;A TRANSEUNTES;11.0
ROBO COMUN;CON VIOLENCIA;OTROS;1.0
ROBO COMUN;CON VIOLENCIA;SIN DATOS;0.0
ROBO COMUN;SIN VIOLENCIA;A CASA HABITACION;78.0
ROBO COMUN;SIN VIOLENCIA;A NEGOCIO;62.0
ROBO COMUN;SIN VIOLENCIA;DE VEHICULOS;46.0
ROBO COMUN;SIN VIOLENCIA;A TRANSPORTISTAS;0.0
ROBO COMUN;SIN VIOLENCIA;A TRANSEUNTES;0.0
ROBO COMUN;SIN VIOLENCIA;OTROS;42.0
ROBO COMUN;SIN VIOLENCIA;SIN DATOS;0.0
ROBO DE GANADO (ABIGEATO);ABIGEATO;ABIGEATO;0.0
ROBO EN INSTITUCIONES BANCARIAS;CON VIOLENCIA;A BANCOS;0.0
ROBO EN INSTITUCIONES BANCARIAS;CON VIOLENCIA;A CASA DE BOLSA;0.0
ROBO EN INSTITUCIONES BANCARIAS;CON VIOLENCIA;A CASA DE CAMBIO;0.0
ROBO EN INSTITUCIONES BANCARIAS;CON VIOLENCIA;A EMPRESA DE TRASLADO DE VALORES;0.0
ROBO EN INSTITUCIONES BANCARIAS;CON VIOLENCIA;OTROS;0.0
ROBO EN INSTITUCIONES BANCARIAS;CON VIOLENCIA;SIN DATOS;0.0
ROBO EN INSTITUCIONES BANCARIAS;SIN VIOLENCIA;A BANCOS;0.0
ROBO EN INSTITUCIONES BANCARIAS;SIN VIOLENCIA;A CASA DE BOLSA;0.0
ROBO EN INSTITUCIONES BANCARIAS;SIN VIOLENCIA;A CASA DE CAMBIO;0.0
ROBO EN INSTITUCIONES BANCARIAS;SIN VIOLENCIA;A EMPRESA DE TRASLADO DE VALORES;0.0
ROBO EN INSTITUCIONES BANCARIAS;SIN VIOLENCIA;OTROS;0.0
ROBO EN INSTITUCIONES BANCARIAS;SIN VIOLENCIA;SIN DATOS;0.0
ROBO EN CARRETERAS;CON VIOLENCIA;A CAMIONES DE CARGA;0.0
ROBO EN CARRETERAS;CON VIOLENCIA;A AUTOBUSES;0.0
ROBO EN CARRETERAS;CON VIOLENCIA;A VEHICULOS PARTICULARES;0.0
ROBO EN CARRETERAS;CON VIOLENCIA;OTROS;0.0
ROBO EN CARRETERAS;CON VIOLENCIA;SIN DATOS;0.0
ROBO EN CARRETERAS;SIN VIOLENCIA;A CAMIONES DE CARGA;0.0
ROBO EN CARRETERAS;SIN VIOLENCIA;A AUTOBUSES;0.0
ROBO EN CARRETERAS;SIN VIOLENCIA;A VEHICULOS PARTICULARES;0.0
ROBO EN CARRETERAS;SIN VIOLENCIA;OTROS;0.0
ROBO EN CARRETERAS;SIN VIOLENCIA;SIN DATOS;0.0
HOMICIDIOS;CULPOSOS;SIN DATOS;15.0
LESIONES;DOLOSAS;CON ARMA BLANCA;0.0
LESIONES;DOLOSAS;CON ARMA DE FUEGO;0.0
LESIONES;DOLOSAS;OTROS;0.0
LESIONES;DOLOSAS;SIN DATOS;52.0
LESIONES;CULPOSAS;CON ARMA BLANCA;0.0
LESIONES;CULPOSAS;CON ARMA DE FUEGO;0.0
DELITOS PATRIMONIALES;ABUSO DE CONFIANZA;ABUSO DE CONFIANZA;25.0
DELITOS PATRIMONIALES;DAÑO EN PROPIEDAD AJENA;DAÑO EN PROPIEDAD AJENA;186.0
DELITOS PATRIMONIALES;EXTORSION;EXTORSION;0.0
DELITOS PATRIMONIALES;FRAUDE;FRAUDE;35.0
DELITOS PATRIMONIALES;DESPOJO;CON VIOLENCIA;0.0
DELITOS PATRIMONIALES;DESPOJO;SIN VIOLENCIA;0.0
DELITOS PATRIMONIALES;DESPOJO;SIN DATOS;0.0
DELITOS SEXUALES (VIOLACION);VIOLACION;VIOLACION;2.0
HOMICIDIOS;DOLOSOS;CON ARMA DE FUEGO;3.0
HOMICIDIOS;DOLOSOS;CON ARMA BLANCA;0.0
HOMICIDIOS;DOLOSOS;OTROS;0.0
HOMICIDIOS;DOLOSOS;SIN DATOS;0.0
HOMICIDIOS;CULPOSOS;CON ARMA DE FUEGO;0.0
HOMICIDIOS;CULPOSOS;CON ARMA BLANCA;0.0
HOMICIDIOS;CULPOSOS;OTROS;0.0
LESIONES;CULPOSAS;OTROS;0.0
LESIONES;CULPOSAS;SIN DATOS;89.0
OTROS DELITOS;AMENAZAS;AMENAZAS;30.0
OTROS DELITOS;ESTUPRO;ESTUPRO;0.0
OTROS DELITOS;OTROS SEXUALES;OTROS SEXUALES;10.0
OTROS DELITOS;RESTO DE LOS DELITOS (OTROS);RESTO DE LOS DELITOS (OTROS);143.0
PRIV. DE LA LIBERTAD (SECUESTRO);SECUESTRO;SECUESTRO;0.0
ROBO COMUN;CON VIOLENCIA;A CASA HABITACION;0.0
ROBO COMUN;CON VIOLENCIA;A NEGOCIO;23.0
ROBO COMUN;CON VIOLENCIA;DE VEHICULOS;1.0
ROBO COMUN;CON VIOLENCIA;A TRANSPORTISTAS;0.0
ROBO COMUN;CON VIOLENCIA;A TRANSEUNTES;4.0
ROBO COMUN;CON VIOLENCIA;OTROS;12.0
ROBO COMUN;CON VIOLENCIA;SIN DATOS;0.0
ROBO COMUN;SIN VIOLENCIA;A CASA HABITACION;63.0
ROBO COMUN;SIN VIOLENCIA;A NEGOCIO;53.0
ROBO COMUN;SIN VIOLENCIA;DE VEHICULOS;23.0
ROBO COMUN;SIN VIOLENCIA;A TRANSPORTISTAS;0.0
ROBO COMUN;SIN VIOLENCIA;A TRANSEUNTES;0.0
ROBO COMUN;SIN VIOLENCIA;OTROS;122.0
ROBO COMUN;SIN VIOLENCIA;SIN DATOS;0.0
ROBO DE GANADO (ABIGEATO);ABIGEATO;ABIGEATO;0.0
ROBO EN INSTITUCIONES BANCARIAS;CON VIOLENCIA;A BANCOS;0.0
ROBO EN INSTITUCIONES BANCARIAS;CON VIOLENCIA;A CASA DE BOLSA;0.0
ROBO EN INSTITUCIONES BANCARIAS;CON VIOLENCIA;A CASA DE CAMBIO;0.0
ROBO EN INSTITUCIONES BANCARIAS;CON VIOLENCIA;A EMPRESA DE TRASLADO DE VALORES;0.0
ROBO EN INSTITUCIONES BANCARIAS;CON VIOLENCIA;OTROS;0.0
ROBO EN INSTITUCIONES BANCARIAS;CON VIOLENCIA;SIN DATOS;0.0
ROBO EN INSTITUCIONES BANCARIAS;SIN VIOLENCIA;A BANCOS;0.0
ROBO EN INSTITUCIONES BANCARIAS;SIN VIOLENCIA;A CASA DE BOLSA;0.0
ROBO EN INSTITUCIONES BANCARIAS;SIN VIOLENCIA;A CASA DE CAMBIO;0.0
ROBO EN INSTITUCIONES BANCARIAS;SIN VIOLENCIA;A EMPRESA DE TRASLADO DE VALORES;0.0
ROBO EN INSTITUCIONES BANCARIAS;SIN VIOLENCIA;OTROS;0.0
ROBO EN INSTITUCIONES BANCARIAS;SIN VIOLENCIA;SIN DATOS;0.0
ROBO EN CARRETERAS;CON VIOLENCIA;A CAMIONES DE CARGA;0.0
ROBO EN CARRETERAS;CON VIOLENCIA;A AUTOBUSES;0.0
ROBO EN CARRETERAS;CON VIOLENCIA;A VEHICULOS PARTICULARES;0.0
ROBO EN CARRETERAS;CON VIOLENCIA;OTROS;0.0
ROBO EN CARRETERAS;CON VIOLENCIA;SIN DATOS;0.0
ROBO EN CARRETERAS;SIN VIOLENCIA;A CAMIONES DE CARGA;0.0
ROBO EN CARRETERAS;SIN VIOLENCIA;A AUTOBUSES;0.0
ROBO EN CARRETERAS;SIN VIOLENCIA;A VEHICULOS PARTICULARES;0.0
ROBO EN CARRETERAS;SIN VIOLENCIA;OTROS;0.0
ROBO EN CARRETERAS;SIN VIOLENCIA;SIN DATOS;0.0
HOMICIDIOS;CULPOSOS;SIN DATOS;7.0
LESIONES;DOLOSAS;CON ARMA BLANCA;0.0
LESIONES;DOLOSAS;CON ARMA DE FUEGO;0.0
LESIONES;DOLOSAS;OTROS;0.0
LESIONES;DOLOSAS;SIN DATOS;69.0
LESIONES;CULPOSAS;CON ARMA BLANCA;0.0
LESIONES;CULPOSAS;CON ARMA DE FUEGO;0.0
DELITOS PATRIMONIALES;ABUSO DE CONFIANZA;ABUSO DE CONFIANZA;32.0
DELITOS PATRIMONIALES;DAÑO EN PROPIEDAD AJENA;DAÑO EN PROPIEDAD AJENA;156.0
DELITOS PATRIMONIALES;EXTORSION;EXTORSION;1.0
DELITOS PATRIMONIALES;FRAUDE;FRAUDE;78.0
DELITOS PATRIMONIALES;DESPOJO;CON VIOLENCIA;0.0
DELITOS PATRIMONIALES;DESPOJO;SIN VIOLENCIA;0.0
DELITOS PATRIMONIALES;DESPOJO;SIN DATOS;14.0
DELITOS SEXUALES (VIOLACION);VIOLACION;VIOLACION;5.0
HOMICIDIOS;DOLOSOS;CON ARMA DE FUEGO;1.0
HOMICIDIOS;DOLOSOS;CON ARMA BLANCA;0.0
HOMICIDIOS;DOLOSOS;OTROS;1.0
HOMICIDIOS;DOLOSOS;SIN DATOS;0.0
HOMICIDIOS;CULPOSOS;CON ARMA DE FUEGO;0.0
HOMICIDIOS;CULPOSOS;CON ARMA BLANCA;0.0
HOMICIDIOS;CULPOSOS;OTROS;12.0
LESIONES;CULPOSAS;OTROS;0.0
LESIONES;CULPOSAS;SIN DATOS;74.0
OTROS DELITOS;AMENAZAS;AMENAZAS;27.0
OTROS DELITOS;ESTUPRO;ESTUPRO;0.0
OTROS DELITOS;OTROS SEXUALES;OTROS SEXUALES;13.0
OTROS DELITOS;RESTO DE LOS DELITOS (OTROS);RESTO DE LOS DELITOS (OTROS);181.0
PRIV. DE LA LIBERTAD (SECUESTRO);SECUESTRO;SECUESTRO;0.0
ROBO COMUN;CON VIOLENCIA;A CASA HABITACION;0.0
ROBO COMUN;CON VIOLENCIA;A NEGOCIO;22.0
ROBO COMUN;CON VIOLENCIA;DE VEHICULOS;2.0
ROBO COMUN;CON VIOLENCIA;A TRANSPORTISTAS;1.0
ROBO COMUN;CON VIOLENCIA;A TRANSEUNTES;10.0
ROBO COMUN;CON VIOLENCIA;OTROS;3.0
ROBO COMUN;CON VIOLENCIA;SIN DATOS;0.0
ROBO COMUN;SIN VIOLENCIA;A CASA HABITACION;50.0
ROBO COMUN;SIN VIOLENCIA;A NEGOCIO;22.0
ROBO COMUN;SIN VIOLENCIA;DE VEHICULOS;31.0
ROBO COMUN;SIN VIOLENCIA;A TRANSPORTISTAS;0.0
ROBO COMUN;SIN VIOLENCIA;A TRANSEUNTES;24.0
ROBO COMUN;SIN VIOLENCIA;OTROS;89.0
ROBO COMUN;SIN VIOLENCIA;SIN DATOS;0.0
ROBO DE GANADO (ABIGEATO);ABIGEATO;ABIGEATO;0.0
ROBO EN INSTITUCIONES BANCARIAS;CON VIOLENCIA;A BANCOS;0.0
ROBO EN INSTITUCIONES BANCARIAS;CON VIOLENCIA;A CASA DE BOLSA;0.0
ROBO EN INSTITUCIONES BANCARIAS;CON VIOLENCIA;A CASA DE CAMBIO;0.0
